nombre,poblacion,superficie,continente
argentina,47000000,2780086,america
brasil,203080756,8515770,america
chile,18480432,756102,america
mexico,126014024,1964375,america
panama,4620975,75517,america
argelia,46810000,2381741,africa
egipto,112716600,996603,africa
liberia,5248621,111369,africa
marruecos,37840052,446550,africa
nigeria,242431832,923768,africa
china,1409670000,9596960,asia
india,1476625576,3287263,asia
japon,123719238,377975,asia
nepal,30485798,147181,asia
rusia,142856536,17125191,asia
alemania,84607016,357375,europa
croacia,3871833,56594,europa
luxemburgo,677411,2586,europa
malta,475700,316,europa
portugal,10411834,92212,europa
australia,27724744,7741220,oceania
palaos,18000,459,oceania
samoa,216663,2831,oceania
tonga,100209,747,oceania
vanuatu,335908,12189,oceania
españa,49000000,505000,europa
eslovenia,2100000,20000,europa
